symbol,news_rows
GILD,4461
KR,4341
FCAU,4334
EWJ,4066
AVGO,4031
YHOO,3882
MYL,3858
MDT,3852
DISH,3670
FDX,3670
HD,3590
TWX,3590
WDC,3554
JWN,3469
PANW,3432
JD,3394
FOXA,3363
OXY,3338
REGN,3338
GXC,3289
EA,3278
FCX,3278
KSS,3274
SLB,3235
AXP,3185
CSX,3119
TXN,3110
STZ,3104
PGJ,3078
ALK,3059
CI,3049
YINN,3043
LEN,3040
NFLX,3028
PBR,3027
PCG,3026
BLK,3020
BUD,2955
LLY,2945
VMW,2942
RAD,2919
TSN,2917
HAL,2908
GME,2887
JPM,2883
BABA,2863
FXP,2863
TJX,2822
XPP,2808
MU,2782
SAVE,2769
GRPN,2757
WFM,2742
NVDA,2737
BBRY,2726
CHN,2720
ULTA,2695
HUM,2694
RSP,2680
SPWR,2679
DOW,2669
ERO,2668
QCOM,2663
SLV,2652
VZ,2648
EBAY,2631
KEY,2603
LOW,2590
VNQ,2571
WBA,2569
DPZ,2564
VGK,2562
ANTM,2558
TIF,2544
MRK,2542
UGAZ,2542
JCP,2525
AEO,2515
PXD,2504
D,2498
JNJ,2485
EWU,2480
INTC,2475
DGAZ,2472
BHI,2466
DUK,2457
MAR,2456
ABX,2452
EWC,2438
GPS,2431
GREK,2400
XLU,2400
VWO,2387
CMG,2378
LUV,2375
AET,2368
GRUB,2365
NSC,2358
ILMN,2323
CNC,2321
HYG,2315
GPRO,2312
FL,2310
WFC,2301
ENDP,2289
EW,2282
AKS,2277
DZZ,2275
FCA,2275
XLK,2274
ENB,2263
WMB,2263
DAL,2253
GMCR,2243
OHI,2242
GWPH,2239
MCD,2236
WDAY,2235
TSM,2229
TWC,2229
TRIP,2225
HTZ,2215
CCL,2207
NTAP,2206
SHPG,2201
CSIQ,2190
MNST,2190
AGN,2186
DRR,2185
SYMC,2182
M,2174
CLR,2170
XLE,2170
TOT,2168
COF,2161
XLY,2156
P,2155
PRGO,2138
MRO,2137
BAX,2134
BSX,2133
ANF,2129
XRT,2124
VTR,2122
SCTY,2121
CAG,2103
HAS,2101
AMTD,2095
KMB,2088
DLTR,2086
EOG,2083
SYK,2080
WEN,2080
TRP,2077
EWW,2058
LL,2053
CP,2052
RRC,2047
SO,2045
TRV,2044
JAZZ,2043
KMI,2041
NEE,2038
KO,2036
SPG,2027
DD,2020
SHLD,2019
FEYE,2016
WLL,2009
MON,2008
DHI,2002
GLD,1999
ORCL,1999
APC,1996
EPV,1996
EWI,1996
HOG,1993
SSYS,1991
INCY,1979
JNK,1976
ESRX,1975
NTES,1974
NE,1973
GOLD,1970
BX,1969
LYB,1966
MET,1958
YELP,1950
HMC,1949
CAT,1942
EWA,1940
CLX,1939
MRVL,1935
AGG,1933
ZUMZ,1929
AZO,1927
BIDU,1927
NOW,1927
JFC,1923
BDX,1921
INDA,1908
RL,1897
NDAQ,1896
XLV,1895
MDLZ,1892
CL,1884
EL,1882
BMY,1880
COH,1880
TSLA,1875
BURL,1866
CMCSA,1865
PPG,1865
XLP,1858
ED,1853
ADI,1846
MT,1846
KORS,1840
SJM,1840
WSM,1839
STLD,1832
SYY,1832
NVS,1830
HP,1824
PFE,1821
BAC,1811
DNKN,1810
OSTK,1807
TMO,1803
CYBR,1800
KKR,1800
VRTX,1796
BWLD,1794
UGL,1794
AA,1791
TAP,1789
JKS,1785
DLR,1784
DFS,1780
SIRI,1779
HA,1776
XBI,1775
GBB,1771
CTSH,1762
ACT,1760
CME,1756
RSX,1756
GOOGL,1754
AAP,1752
MS,1752
BMRN,1751
GCC,1748
MCHP,1746
JACK,1745
GG,1741
DHR,1740
KSU,1740
SPLS,1740
BIIB,1736
ALGN,1729
INO,1728
NBL,1727
HCP,1723
CLF,1713
TZA,1712
BEN,1706
QRVO,1703
ICE,1702
CRUS,1697
PRU,1697
PVH,1696
URBN,1695
HZNP,1692
CTL,1691
MYGN,1690
RHT,1688
TROW,1682
CMA,1681
CNI,1681
YCS,1680
NEM,1676
YANG,1676
PGR,1670
W,1670
CF,1668
MKC,1668
MNK,1665
AFL,1663
INTU,1663
ODP,1663
AZN,1660
ANET,1659
HCA,1657
DXJ,1656
GDXJ,1650
ORLY,1644
DDD,1641
ZNGA,1640
FTR,1638
CIEN,1632
PAA,1632
APO,1624
QSR,1619
DKS,1618
CLVS,1616
SKX,1616
PSEC,1610
WHR,1608
LCI,1607
OPK,1606
