model,eta,residual_cap,mean_rank_ic,median_rank_ic,positive_ic_years,mean_top_bottom_spread,mean_best_iteration,mean_rule_slope
xgb_03,1.0,0.5,0.02632878507642596,0.036456383558099235,2,-0.0010695415047734583,28.666666666666668,-0.0021830907836411016
xgb_03,1.0,0.25,0.02608540909150812,0.036456383558099235,2,-0.0011914586367254927,28.666666666666668,-0.0021830907836411016
xgb_13,1.0,0.5,0.025872028760946048,0.037253108318601985,2,-0.0013360323402016822,31.0,-0.0021830907836411016
xgb_13,1.0,0.25,0.025859723721046446,0.037253108318601985,2,-0.0013183541391229693,31.0,-0.0021830907836411016
xgb_01,1.0,0.5,0.025320873300640093,0.037148101253786,2,-0.0007747183388843506,26.666666666666668,-0.0021830907836411016
xgb_13,0.75,0.5,0.025296313745104843,0.03688058761441501,2,-0.0014031207400927793,31.0,-0.0021830907836411016
xgb_13,0.75,0.25,0.02523696402227417,0.03688058761441501,2,-0.0014297429316580427,31.0,-0.0021830907836411016
xgb_28,1.0,0.5,0.025082809355551034,0.03625245605245214,2,-0.0012381757809904863,30.333333333333332,-0.0021830907836411016
xgb_26,1.0,0.5,0.02507862621784486,0.03606666546272231,2,-0.0012400375259714264,244.33333333333334,-0.0021830907836411016
xgb_07,1.0,0.5,0.025058343546992823,0.035328814611683135,2,-0.0013961751513454077,177.33333333333334,-0.0021830907836411016
xgb_25,1.0,0.5,0.025023601242500405,0.03619917585174545,2,-0.0013903215415398873,127.33333333333333,-0.0021830907836411016
xgb_04,1.0,0.5,0.024995854638961312,0.035646429845191625,2,-0.0011398564137087871,211.0,-0.0021830907836411016
xgb_07,1.0,0.25,0.024992467394160153,0.035328814611683135,2,-0.0013961751513454077,177.33333333333334,-0.0021830907836411016
xgb_24,1.0,0.5,0.024990158342021868,0.03703330620423759,2,-0.0012578282823716626,31.0,-0.0021830907836411016
xgb_10,1.0,0.5,0.02492260767868874,0.036045064798160366,2,-0.0009973434618435536,106.66666666666667,-0.0021830907836411016
xgb_03,0.75,0.5,0.024919104770125433,0.036430513024134,2,-0.0012049092591100974,28.666666666666668,-0.0021830907836411016
