period,family,config,year,train_rows,test_rows,best_epoch,early_loss
validation,price_risk,tiny,2019,4851,5291,6,0.5768364667892456
validation,price_risk,tiny,2020,10142,4437,8,0.4158294349908829
validation,price_risk,small,2019,4851,5291,3,0.5856785178184509
validation,price_risk,small,2020,10142,4437,6,0.4174278825521469
validation,price_risk,medium,2019,4851,5291,1,0.5639594197273254
validation,price_risk,medium,2020,10142,4437,7,0.4143206626176834
validation,deployable_news,tiny,2019,4851,5291,6,0.5942099690437317
validation,deployable_news,tiny,2020,10142,4437,6,0.4095603674650192
validation,deployable_news,small,2019,4851,5291,6,0.6007025837898254
validation,deployable_news,small,2020,10142,4437,8,0.42786721885204315
validation,deployable_news,medium,2019,4851,5291,2,0.5979456305503845
validation,deployable_news,medium,2020,10142,4437,6,0.41430720686912537
validation,research_news,tiny,2019,4851,5291,4,0.6031159162521362
validation,research_news,tiny,2020,10142,4437,6,0.4207872450351715
validation,research_news,small,2019,4851,5291,3,0.607305109500885
validation,research_news,small,2020,10142,4437,4,0.42568327486515045
validation,research_news,medium,2019,4851,5291,6,0.6105741262435913
validation,research_news,medium,2020,10142,4437,7,0.4225300997495651
locked_test_reused,price_risk,small,2021,14679,4032,7,0.46242740750312805
locked_test_reused,price_risk,small,2022,18711,4016,4,0.4876088872551918
locked_test_reused,price_risk,small,2023,22727,3664,3,0.4070292115211487
locked_test_reused,deployable_news,medium,2021,14679,4032,12,0.46592071652412415
locked_test_reused,deployable_news,medium,2022,18711,4016,7,0.4888100326061249
locked_test_reused,deployable_news,medium,2023,22727,3664,2,0.40338218957185745
locked_test_reused,research_news,small,2021,14679,4032,7,0.4704721172650655
locked_test_reused,research_news,small,2022,18711,4016,7,0.48611388355493546
locked_test_reused,research_news,small,2023,22727,3664,4,0.39690447598695755
