period,strategy,scope,rows,dates,active_share,direction_accuracy_20d,auc_20d,rank_ic_5d,rank_ic_20d,top_bottom_spread_5d,top_bottom_spread_20d
validation,strategy_only,all,14999,756,0.8767917861190746,0.5452056877803969,0.525084879269582,0.02997739287152869,0.033767952377514183,-0.0021689900078954564,-0.009704008437250316
validation,strategy_only,news_covered,11664,756,0.8717421124828533,0.5439614476789929,0.5287662714336623,0.0252910923627763,0.025823931265244297,0.0014507050330662082,-0.004050177651854326
validation,strategy_risk,all,14999,756,0.8319221281418762,0.5454399743548646,0.5301119942709089,0.0292345401700262,0.03326697939828315,-0.0025588688639110752,-0.011925881200447694
validation,strategy_risk,news_covered,11664,756,0.8256172839506173,0.5440290758047768,0.5306248883007947,0.023403404017793412,0.02650706921460286,0.000769661780484163,-0.005215142479110701
validation,fusion_no_news,all,14999,756,0.8013200880058671,0.552541808802729,0.5173542863341551,0.030374163526894038,0.03538767834470023,-0.002575573561288531,-0.012072520306563434
validation,fusion_no_news,news_covered,11664,756,0.791838134430727,0.5511043741879602,0.5135558205438865,0.024546029783854853,0.02874912223149739,0.0012626637020072885,-0.0043344534044955
validation,fusion_full,all,14999,756,0.7311154076938463,0.5515228889294183,0.5139066037860363,0.026641338875912544,0.03970721196887966,-0.0052712429974088384,-0.014427436882942256
validation,fusion_full,news_covered,11664,756,0.7015603566529492,0.5495539533178541,0.5084708065202105,0.016499958017855355,0.031400535662215526,-0.0006386500717725622,-0.007984779336625735
validation,fusion_full_no_risk,all,14999,756,0.8070538035869058,0.552333746385791,0.5089656134379393,0.026601632580040162,0.037179718363690654,-0.0045113293580022135,-0.013572919405592493
validation,fusion_full_no_risk,news_covered,11664,756,0.781721536351166,0.5514367185786356,0.5079766790144445,0.017370320291075672,0.028412790832198855,0.000268682136499518,-0.00552639350087994
locked_test,strategy_only,all,11712,732,0.8558743169398907,0.5189545091779728,0.5086639838776048,0.014154450911939861,0.025413683215843,-0.002510975723059878,-0.006885960234795297
locked_test,strategy_only,news_covered,9207,732,0.8484848484848485,0.517921146953405,0.5108481279984214,0.016196438039792888,0.024944567047363572,-0.0014478045059879861,-0.008490923782442908
locked_test,strategy_risk,all,11712,732,0.8100239071038251,0.5171287024349109,0.5128398371750054,0.01417530095824669,0.02824443400917636,-0.0023806075295745516,-0.005905182771603372
locked_test,strategy_risk,news_covered,9207,732,0.800369284240252,0.5162165829827656,0.5122880478470442,0.015519254754810287,0.02659234114736634,-0.0019936330439407923,-0.008361266020532976
locked_test,fusion_no_news,all,11712,732,0.7593920765027322,0.5115808410164155,0.5017528524580721,0.015824962079665803,0.029610609893745844,-0.002131829178802859,-0.00558750894050881
locked_test,fusion_no_news,news_covered,9207,732,0.7466058433800369,0.5082921152167588,0.4993621612568683,0.016428949010916225,0.026664967546115085,-0.001858396704114139,-0.008586586821809548
locked_test,fusion_full,all,11712,732,0.6699965846994536,0.5070727666624187,0.4902356765908395,0.01465364834458373,0.026611218257794916,-0.0019562291327232828,-0.006715964295328217
locked_test,fusion_full,news_covered,9207,732,0.6328880199847942,0.5016303415136434,0.48343512450820497,0.011189971230954837,0.0203031599547993,-0.0018034520833093686,-0.008220433697519474
locked_test,fusion_full_no_risk,all,11712,732,0.7532445355191257,0.5077080027204716,0.483617801836432,0.013567794815220134,0.023244116617260138,-0.0010364333567338111,-0.0057386500773820796
locked_test,fusion_full_no_risk,news_covered,9207,732,0.7245574019767568,0.5041223204916804,0.4798440716649549,0.012496473019697432,0.021727068801505718,-0.0010381555263355277,-0.007536569100743282
