horizon,feature_set,auc_pooled,auc_2021,auc_2022,auc_2023,n_train,n_test,train_end,test_start
5,risk_only,0.5049313615123804,0.5014179906145757,0.5347857522040312,0.5148454193376069,36435,11712,2020-12-02,2021-01-01
5,price_only,0.5211878716006546,0.5288212937311145,0.5182566764779492,0.5387621709887336,36435,11712,2020-12-02,2021-01-01
5,price+news,0.5153623512705008,0.5290309894900838,0.5228104176129097,0.5206146501068376,36435,11712,2020-12-02,2021-01-01
5,price+risk,0.521548288321205,0.5314376535182777,0.5213034016148157,0.5441386521464646,36435,11712,2020-12-02,2021-01-01
5,price+news+risk,0.5199783828964719,0.5304932059327944,0.5267328429278724,0.5254350900835276,36435,11712,2020-12-02,2021-01-01
20,risk_only,0.4894170057030175,0.5148400033005602,0.5126307790997816,0.5243449166317115,36435,11712,2020-12-02,2021-01-01
20,price_only,0.538398257114942,0.5548340050688634,0.5170263569206646,0.5389056929005872,36435,11712,2020-12-02,2021-01-01
20,price+news,0.5392626844377751,0.5719435266996671,0.5155762680799719,0.5296021327076342,36435,11712,2020-12-02,2021-01-01
20,price+risk,0.5311626720734375,0.5434883293775149,0.49912393913012487,0.5374147965604026,36435,11712,2020-12-02,2021-01-01
20,price+news+risk,0.5323616117894623,0.5469742267633025,0.4974532759050805,0.5397326578229866,36435,11712,2020-12-02,2021-01-01
