metric,target,n,raw_rho,raw_p,partial_rho,partial_p,fdr_sig
log_count,vol_3d,21967,0.15181119584205383,2.1791309930105066e-113,0.024978729679165583,0.0002192833175459062,True
log_count,vol_5d,21964,0.18056725450533234,2.465614277408165e-160,0.0342022233069244,4.177343965605574e-07,True
log_count,vol_10d,21928,0.19102941084921232,2.8483672748676673e-179,0.030791433232984177,5.313387055955624e-06,True
log_count,vol_20d,21810,0.19885042245424933,2.400862147479228e-193,0.03256107340848613,1.5807537085369793e-06,True
abn_vol,vol_3d,21912,0.013662786744253488,0.04313084599880718,0.021252178294987063,0.0016702995356586026,True
abn_vol,vol_5d,21909,0.010864522328106896,0.10781579334037766,0.020491406616739795,0.002440782325981187,True
abn_vol,vol_10d,21873,-0.004149478444961619,0.5394428999327743,0.0018165788393334373,0.788380103229843,False
abn_vol,vol_20d,21755,-0.010881836188612095,0.10849820206594771,-0.0070368437958607385,0.29975872816132404,False
disagreement,vol_3d,15628,0.10205629075433706,1.849265020521529e-37,0.02733676152484041,0.0006423247800539628,True
disagreement,vol_5d,15625,0.11977899131346202,5.0137155764071604e-51,0.03442748898000576,1.7200453901907682e-05,True
disagreement,vol_10d,15592,0.1160675926038386,6.649030663704208e-48,0.019712880652737415,0.013965433197752728,True
disagreement,vol_20d,15491,0.113582450469966,1.1915611175546744e-45,0.011364891670769782,0.15781058608403925,False
log_count,past_vol,21889,0.24020356508490778,7.974196907919172e-285,,,False
abn_vol,past_vol,21877,-0.007326946028048555,0.2785102141251693,,,False
disagreement,past_vol,15588,0.1441687305223836,3.625749743687145e-73,,,False
log_count,dir_1d,21969,-0.003801377478027285,0.5731571002889917,,,False
log_count,dir_3d,21967,-0.0008256614174183243,0.9026087264247522,,,False
log_count,dir_5d,21964,0.0032082915892558913,0.6344654064477415,,,False
log_count,dir_10d,21928,0.0009985110263442576,0.882459429751556,,,False
log_count,dir_20d,21810,-0.016581304127891442,0.014333713150536621,,,False
abn_vol,dir_1d,21914,-0.0033645405237674075,0.6184568006627996,,,False
abn_vol,dir_3d,21912,-0.000723208622567474,0.9147506403474721,,,False
abn_vol,dir_5d,21909,0.007516774080098728,0.26589668968804686,,,False
abn_vol,dir_10d,21873,0.015011842995427732,0.026406671548312315,,,False
abn_vol,dir_20d,21755,0.0018951283144499698,0.7798553173421707,,,False
disagreement,dir_1d,15630,-0.023579937806825914,0.003196944348430774,,,False
disagreement,dir_3d,15628,-0.014211740062997726,0.07563643950572918,,,False
disagreement,dir_5d,15625,-0.007140023825216457,0.37215555879799844,,,False
disagreement,dir_10d,15592,-0.017166010103449227,0.03207535958467628,,,False
disagreement,dir_20d,15491,-0.020965183934160764,0.009068453961370753,,,False
