split,family,mode,alpha,gain_2019,gain_2020,min_validation_year_gain,qlike,base_qlike,relative_gain,dm_t,dm_p,mean_multiplier,p95_multiplier,share_amplified
VAL,legacy,two_sided,1.0,0.04453507078614581,0.08224955053397053,0.04453507078614581,1.2233806328924821,1.3204636059762611,0.07352188477167641,-2.2554543283133546,0.024104825934702312,1.121169707053728,1.208896290892031,0.754200146092038
TEST_CONFIRMATION,legacy,two_sided,1.0,,,,0.4066339878000762,0.4307525766919721,0.05599174606712314,-2.5346266255084826,0.011256723544269986,1.1281733104658385,1.2412895467698184,0.7224570787680097
VAL,legacy,amplify_only,1.0,0.04453507078614581,0.08224955053397053,0.04453507078614581,1.2233806328924821,1.3204636059762611,0.07352188477167641,-2.2554543283133546,0.024104825934702312,1.121169707053728,1.208896290892031,0.754200146092038
TEST_CONFIRMATION,legacy,amplify_only,1.0,,,,0.4066339878000762,0.4307525766919721,0.05599174606712314,-2.5346266255084826,0.011256723544269986,1.1281733104658385,1.2412895467698184,0.7224570787680097
VAL,legacy+sentiment,two_sided,1.0,0.04367019249884018,0.08524528597151586,0.04367019249884018,1.2206045765107523,1.3204636059762611,0.07562421941321121,-2.200894751719879,0.02774347556915524,1.126823238690494,1.218139550825725,0.754200146092038
TEST_CONFIRMATION,legacy+sentiment,two_sided,1.0,,,,0.40683548322273483,0.4307525766919721,0.05552397075117253,-2.4483314852597706,0.014351954764489916,1.1333990334600152,1.242396410997756,0.7224570787680097
VAL,legacy+sentiment,amplify_only,1.0,0.04367019249884018,0.08524528597151586,0.04367019249884018,1.2206045765107523,1.3204636059762611,0.07562421941321121,-2.200894751719879,0.02774347556915524,1.126823238690494,1.218139550825725,0.754200146092038
TEST_CONFIRMATION,legacy+sentiment,amplify_only,1.0,,,,0.40683548322273483,0.4307525766919721,0.05552397075117253,-2.4483314852597706,0.014351954764489916,1.1333990334600152,1.242396410997756,0.7224570787680097
VAL,legacy+source,two_sided,10.0,0.045826367842956156,0.08325465902017799,0.045826367842956156,1.2219659719257905,1.3204636059762611,0.07459322135398663,-2.190309043433687,0.028501831419638357,1.1015327421477734,1.1927125416044446,0.754200146092038
TEST_CONFIRMATION,legacy+source,two_sided,10.0,,,,0.4048682091329059,0.4307525766919721,0.06009103359949467,-3.0603660186908,0.002210666453103194,1.1105283539656245,1.2078036950156452,0.7224570787680097
VAL,legacy+source,amplify_only,10.0,0.045826367842956156,0.08325465902017799,0.045826367842956156,1.2219659719257905,1.3204636059762611,0.07459322135398663,-2.190309043433687,0.028501831419638357,1.1015327421477734,1.1927125416044446,0.754200146092038
TEST_CONFIRMATION,legacy+source,amplify_only,10.0,,,,0.4048682091329059,0.4307525766919721,0.06009103359949467,-3.0603660186908,0.002210666453103194,1.1105283539656245,1.2078036950156452,0.7224570787680097
