family,mode,alpha,year,n,qlike,base_qlike,relative_gain,dm_t,dm_p,mean_multiplier,p95_multiplier,share_amplified
legacy,two_sided,1.0,2019,4411,0.5436868288876358,0.5690285559041661,0.04453507078614581,-1.4974543342333566,0.1342750794379024,1.1305174303180803,1.210670111224234,0.8145545227839492
legacy,two_sided,1.0,2020,4118,1.8902760615415997,2.0549804052248644,0.08014886334901188,-1.9716269386876433,0.0486522096290507,1.1070986809566272,1.2053282164180696,0.665857212238951
legacy,two_sided,1.0,2021,3780,0.449389374614663,0.4761427923157888,0.056187803601954654,-2.2028067637504045,0.027608371246616414,1.080630649834522,1.1942525712578413,0.5259259259259259
legacy,two_sided,1.0,2022,3937,0.3476106400155579,0.3917573677340429,0.11268895330248241,-2.714607138630233,0.0066354433339377294,1.1313836560970756,1.2348803018586973,0.745745491490983
legacy,two_sided,1.0,2023,3874,0.42489923252607276,0.4260930833025401,0.002801854391097116,-0.03479356305973997,0.9722443534596845,1.1712998273569581,1.2529397607121109,0.8905524006195147
legacy,amplify_only,1.0,2019,4411,0.5436868288876358,0.5690285559041661,0.04453507078614581,-1.4974543342333566,0.1342750794379024,1.1305174303180803,1.210670111224234,0.8145545227839492
legacy,amplify_only,1.0,2020,4118,1.8902760615415997,2.0549804052248644,0.08014886334901188,-1.9716269386876433,0.0486522096290507,1.1070986809566272,1.2053282164180696,0.665857212238951
legacy,amplify_only,1.0,2021,3780,0.449389374614663,0.4761427923157888,0.056187803601954654,-2.2028067637504045,0.027608371246616414,1.080630649834522,1.1942525712578413,0.5259259259259259
legacy,amplify_only,1.0,2022,3937,0.3476106400155579,0.3917573677340429,0.11268895330248241,-2.714607138630233,0.0066354433339377294,1.1313836560970756,1.2348803018586973,0.745745491490983
legacy,amplify_only,1.0,2023,3874,0.42489923252607276,0.4260930833025401,0.002801854391097116,-0.03479356305973997,0.9722443534596845,1.1712998273569581,1.2529397607121109,0.8905524006195147
legacy+sentiment,two_sided,1.0,2019,4411,0.5441789693304941,0.5690285559041661,0.04367019249884018,-1.4290125236606344,0.15300063392178442,1.1356402750905283,1.2186259399003587,0.8145545227839492
legacy+sentiment,two_sided,1.0,2020,4118,1.884438632208345,2.0549804052248644,0.08298948865055378,-1.9335834933982983,0.053164358382330246,1.113293449166055,1.2163187012793615,0.665857212238951
legacy+sentiment,two_sided,1.0,2021,3780,0.449683807110157,0.4761427923157888,0.05556943344021814,-2.0724575953306754,0.03822278690696934,1.0867143375814696,1.2102663851258286,0.5259259259259259
legacy+sentiment,two_sided,1.0,2022,3937,0.34782122050713193,0.3917573677340429,0.11215142546275847,-2.6099712547786176,0.009054983105853509,1.1386952518040807,1.2379320624479304,0.745745491490983
legacy+sentiment,two_sided,1.0,2023,3874,0.42500081311867516,0.4260930833025401,0.0025634543874756633,-0.031314468978008714,0.9750187514913395,1.173568609815285,1.2528371063014043,0.8905524006195147
