model,n,qlike,rmse_log,r2_log,mz_a,mz_b,coverage,split,horizon
naive (rv22),9468,1.404427009783093,0.6420304391284702,0.2198010972191301,-1.3557934500321889,0.7047954272817821,0.9145542881284326,VAL,5
"GARCH(1,1)",9468,1.1609987030163664,0.6189091343139324,0.2749835133263284,-0.6352468206928139,0.8934276300944282,0.9333544571187157,VAL,5
"EGARCH(1,1,1)",9468,33240979326.395535,1.5129237892273861,-3.332396549110319,-3.6044038441732935,0.12949240779993054,0.8946979298690325,VAL,5
HAR,9468,1.2308952871524113,0.5719995924356904,0.3807221647042106,-0.07340861863594915,1.0067071166464527,0.9103295310519645,VAL,5
GBM (trees),9468,1.4877007217358644,0.5778038653905198,0.3680903561295623,-0.16255398943384336,0.9801634331096915,0.90694972539079,VAL,5
naive (rv22),11952,0.4823722849600955,0.5120982383527574,0.3421614629783455,-0.8508994269773167,0.8177670721163525,0.9315595716198126,TEST,5
"GARCH(1,1)",11952,0.4631867333151786,0.5163012224136552,0.33131889057258423,-0.5247925867663832,0.9035815950941635,0.9354919678714859,TEST,5
"EGARCH(1,1,1)",11952,0.4636106751175078,0.5107635969658043,0.34558594042640856,-0.5915464880202939,0.8863028669148955,0.9389223560910308,TEST,5
HAR,11952,0.4294401076619291,0.46417471745794997,0.45952487430425226,0.28410805068760175,1.0857957518325958,0.9246151271753681,TEST,5
GBM (trees),11952,0.4467730121722458,0.4695377879197841,0.446963434367728,-0.11745502126803933,0.9863213373465286,0.9245314591700133,TEST,5
naive (rv22),9393,1.5849164392543658,0.5573928471311621,0.15323183900221593,-1.701261646645717,0.5772798300598299,0.8918343447247951,VAL,20
"GARCH(1,1)",9393,1.0754724356735068,0.4805890784214544,0.37050899084402067,-0.7943490031992653,0.8132347905590172,0.9262216544235069,VAL,20
"EGARCH(1,1,1)",9393,30846343225.440323,1.4218497503613619,-4.50996892580314,-3.4706890239707513,0.12448428142633068,0.8876823166187586,VAL,20
HAR,9393,0.9563760444093228,0.4864046018680819,0.3551820957705196,-0.6628378740397544,0.8503679124278971,0.9220696263174705,VAL,20
GBM (trees),9393,1.1602971915619176,0.4676357889409937,0.4039849592488213,-0.4543778751792077,0.8919996764415368,0.9156818907697222,VAL,20
naive (rv22),11712,0.2582431257988036,0.3321634780496384,0.5524643703202319,-0.8694865208080063,0.7827842881748268,0.9230703551912568,TEST,20
"GARCH(1,1)",11712,0.23623435099653228,0.3332685541776275,0.5494816003771246,-0.5631203735383927,0.8633191466985177,0.9343408469945356,TEST,20
"EGARCH(1,1,1)",11712,0.22198006296961276,0.324519740531814,0.5728247344712307,-0.5790278175723648,0.8610398537264995,0.9341700819672131,TEST,20
HAR,11712,0.1645261823764322,0.2875093222797212,0.66470450386844,0.24987117213727214,1.0814191491625622,0.9458674863387978,TEST,20
GBM (trees),11712,0.17862190816170997,0.2907742439535991,0.6570461139276127,-0.1815362380406065,0.9623529549367972,0.9395491803278688,TEST,20
