model,n,qlike,rmse_log,r2_log,mz_a,mz_b,coverage,split,horizon
naive (rv22),11952,0.4823722849600955,0.5120982383527574,0.3421614629783455,-0.8508994269773167,0.8177670721163525,0.9315595716198126,TEST,5
"GARCH(1,1)",11952,0.4631867333151786,0.5163012224136552,0.33131889057258423,-0.5247925867663832,0.9035815950941635,0.9354919678714859,TEST,5
"EGARCH(1,1,1)",11952,0.4640062120959949,0.5108964793799345,0.3452453858819986,-0.5931562974229203,0.8858994504834125,0.9390060240963856,TEST,5
HAR-X (deployed),11952,0.4294401076619291,0.46417471745794997,0.45952487430425226,0.28410805068760175,1.0857957518325958,0.9246151271753681,TEST,5
HAR+lev (rejected),11952,0.4344235917882566,0.46508901605625325,0.45739359783572,0.26410632165341996,1.081125957387822,0.9250334672021419,TEST,5
naive (rv22),11712,0.2582431257988036,0.3321634780496384,0.5524643703202319,-0.8694865208080063,0.7827842881748268,0.9230703551912568,TEST,20
"GARCH(1,1)",11712,0.23623435099653228,0.3332685541776275,0.5494816003771246,-0.5631203735383927,0.8633191466985177,0.9343408469945356,TEST,20
"EGARCH(1,1,1)",11712,0.2223610793110645,0.32466372010651734,0.5724456009442649,-0.5798937781277878,0.8607798501906619,0.9339993169398907,TEST,20
HAR-X (deployed),11712,0.1645261823764322,0.2875093222797212,0.66470450386844,0.24987117213727214,1.0814191491625622,0.9458674863387978,TEST,20
HAR+lev (rejected),11712,0.16495588606318384,0.28761834664325375,0.6644501656179547,0.2475542639481151,1.0810269379047242,0.9456113387978142,TEST,20
