year,model,alpha,qlike
2018,price_gamma,0.1,0.4970804455479375
2018,price_gamma_plus_log_count,0.1,0.4979952915916015
2018,price_gamma_plus_news_interactions,0.1,0.4981617195887124
2018,price_gamma_plus_attention,0.1,0.5005695833171351
2019,price_gamma,0.1,0.5043177441311286
2019,price_gamma_plus_log_count,0.1,0.5042678688783788
2019,price_gamma_plus_news_interactions,0.1,0.504272174374723
2019,price_gamma_plus_attention,0.1,0.5012811674240546
2020,price_gamma,0.1,1.6551899273922102
2020,price_gamma_plus_log_count,0.1,1.6563504707921817
2020,price_gamma_plus_news_interactions,0.1,1.6610287847940697
2020,price_gamma_plus_attention,0.1,1.6906673051358356
2021,price_gamma,1.0,0.44295534483457705
2021,price_gamma_plus_log_count,1.0,0.4433842128435514
2021,price_gamma_plus_news_interactions,1.0,0.4440313988427208
2021,price_gamma_plus_attention,1.0,0.4407855462534853
2022,price_gamma,1.0,0.3604851191317464
2022,price_gamma_plus_log_count,1.0,0.35848449206838207
2022,price_gamma_plus_news_interactions,1.0,0.3573103798602678
2022,price_gamma_plus_attention,1.0,0.3523641664280096
2023,price_gamma,1.0,0.43150615367923584
2023,price_gamma_plus_log_count,1.0,0.42807686571091297
2023,price_gamma_plus_news_interactions,1.0,0.4261478106115517
2023,price_gamma_plus_attention,1.0,0.42275688561728875
