horizon,candidate,reference,symbol,n,reference_qlike,candidate_qlike,relative_gain,component
5,linear_gamma,current_frozen_har,AAPL,1503,1.6398097280008486,1.6509412611677732,-0.00678830779989058,price_5d
5,linear_gamma,current_frozen_har,ADBE,1503,0.5897083018334944,0.5045452362561713,0.14441557853694437,price_5d
5,linear_gamma,current_frozen_har,AMD,1503,0.5132278168910928,0.456111324315014,0.11128877020358176,price_5d
5,linear_gamma,current_frozen_har,AMZN,1503,2.0164868824912894,2.0433870183461944,-0.013340099600187321,price_5d
5,linear_gamma,current_frozen_har,ASML,1503,0.5830323292653843,0.3900470207073537,0.3310027572590879,price_5d
5,linear_gamma,current_frozen_har,AVGO,1503,0.5831502936733765,0.4861366701393686,0.16636127013312513,price_5d
5,linear_gamma,current_frozen_har,COST,1503,0.603048596156604,0.5776459164671873,0.04212376888249968,price_5d
5,linear_gamma,current_frozen_har,CSCO,561,0.7610044568838311,0.5959187893581063,0.21693127554300976,price_5d
5,linear_gamma,current_frozen_har,GLD,1503,0.4301579034462948,0.4432176751384454,-0.030360413205289684,price_5d
5,linear_gamma,current_frozen_har,GOOGL,561,0.7743669788323959,0.5886217503068238,0.23986718649294936,price_5d
5,linear_gamma,current_frozen_har,INTC,1503,0.7032227885740089,0.5906643043060946,0.16006091682005885,price_5d
5,linear_gamma,current_frozen_har,INTU,625,0.6605946884749572,0.5514628286233751,0.1652024482720605,price_5d
5,linear_gamma,current_frozen_har,MSFT,1503,0.5254746639968506,0.46071946315395956,0.12323182311084584,price_5d
5,linear_gamma,current_frozen_har,MU,1503,0.45981652371295306,0.39897972294427264,0.1323066867572133,price_5d
5,linear_gamma,current_frozen_har,NFLX,616,0.49207811550607544,0.3764396618342918,0.23500019616368395,price_5d
5,linear_gamma,current_frozen_har,NVDA,1503,0.5819219874563766,0.46644825507129,0.19843507355656154,price_5d
5,linear_gamma,current_frozen_har,PEP,1503,0.5650120727279428,0.623314686569479,-0.10318826208446209,price_5d
5,linear_gamma,current_frozen_har,QCOM,1503,0.7474301002958418,0.6198468550735342,0.17069588871495622,price_5d
5,linear_gamma,current_frozen_har,SLV,616,0.549084528836499,0.4307926608415804,0.215434713204499,price_5d
5,linear_gamma,current_frozen_har,TSLA,1503,1.1389452210466324,1.106001081236861,0.028925131078294898,price_5d
5,linear_gamma,current_frozen_har,TXN,1503,0.4690912829022936,0.4186874730498582,0.10744989661838154,price_5d
5,har_news_linear_deployable,current_frozen_har,AAPL,1503,1.6398097280008486,1.6212477539003056,0.011319590183900493,news_5d
5,har_news_linear_deployable,current_frozen_har,ADBE,1503,0.5897083018334944,0.5472268888577397,0.0720380107311927,news_5d
5,har_news_linear_deployable,current_frozen_har,AMD,1503,0.5132278168910928,0.4552851708693998,0.11289849091322428,news_5d
5,har_news_linear_deployable,current_frozen_har,AMZN,1503,2.0164868824912894,2.069288897059473,-0.02618515152597918,news_5d
5,har_news_linear_deployable,current_frozen_har,ASML,1503,0.5830323292653843,0.5138969108857421,0.11857904769492326,news_5d
5,har_news_linear_deployable,current_frozen_har,AVGO,1503,0.5831502936733765,0.5393646533841504,0.07508465787337915,news_5d
5,har_news_linear_deployable,current_frozen_har,COST,1503,0.603048596156604,0.59586250712028,0.011916268576235721,news_5d
5,har_news_linear_deployable,current_frozen_har,CSCO,561,0.7610044568838311,0.7013487190308405,0.07839078643148759,news_5d
5,har_news_linear_deployable,current_frozen_har,GLD,1503,0.4301579034462948,0.40130095904249674,0.06708453842787718,news_5d
5,har_news_linear_deployable,current_frozen_har,GOOGL,561,0.7743669788323959,0.6962401612606284,0.10089120495500534,news_5d
5,har_news_linear_deployable,current_frozen_har,INTC,1503,0.7032227885740089,0.6184999297961907,0.12047797675843054,news_5d
5,har_news_linear_deployable,current_frozen_har,INTU,625,0.6605946884749572,0.6264263199411644,0.05172365011392019,news_5d
5,har_news_linear_deployable,current_frozen_har,MSFT,1503,0.5254746639968506,0.5267309970765125,-0.002390853766585055,news_5d
5,har_news_linear_deployable,current_frozen_har,MU,1503,0.45981652371295306,0.41504768995511615,0.09736238575407195,news_5d
5,har_news_linear_deployable,current_frozen_har,NFLX,616,0.49207811550607544,0.4611054488688065,0.06294258098719803,news_5d
5,har_news_linear_deployable,current_frozen_har,NVDA,1503,0.5819219874563766,0.5256823887347966,0.09664456737131966,news_5d
5,har_news_linear_deployable,current_frozen_har,PEP,1503,0.5650120727279428,0.5708008090169597,-0.010245332035239888,news_5d
5,har_news_linear_deployable,current_frozen_har,QCOM,1503,0.7474301002958418,0.6795341737844266,0.09083916540762964,news_5d
5,har_news_linear_deployable,current_frozen_har,SLV,616,0.549084528836499,0.4695412843828456,0.14486520795296176,news_5d
5,har_news_linear_deployable,current_frozen_har,TSLA,1503,1.1389452210466324,1.1170687016998704,0.01920770107508651,news_5d
5,har_news_linear_deployable,current_frozen_har,TXN,1503,0.4690912829022936,0.42823814446693526,0.08708995439565143,news_5d
20,har_news_linear_deployable,current_frozen_har,AAPL,1488,0.8890022002323887,0.995174665818118,-0.1194287995664975,model_20d
20,har_news_linear_deployable,current_frozen_har,ADBE,1488,0.4514595733620946,0.4491915533109426,0.0050237500431359345,model_20d
