outer_year,validation_year,config,hidden,dropout,weight_decay,best_epoch,validation_qlike,selected
2018,2017,mlp_64_32,64-32,0.1,0.0001,15,0.6834255282510207,False
2018,2017,mlp_128_64,128-64,0.15,0.0003,10,0.6747619091772539,False
2018,2017,mlp_128_64_32,128-64-32,0.2,0.0008,10,0.6701955537067296,True
2019,2018,mlp_64_32,64-32,0.1,0.0001,15,0.5101975888016572,False
2019,2018,mlp_128_64,128-64,0.15,0.0003,10,0.49857082742901193,True
2019,2018,mlp_128_64_32,128-64-32,0.2,0.0008,10,0.5058731627716545,False
2020,2019,mlp_64_32,64-32,0.1,0.0001,40,0.5105698436061306,False
2020,2019,mlp_128_64,128-64,0.15,0.0003,20,0.5050225847413764,True
2020,2019,mlp_128_64_32,128-64-32,0.2,0.0008,15,0.5082370699560826,False
2021,2020,mlp_64_32,64-32,0.1,0.0001,1,1.4830068823264981,True
2021,2020,mlp_128_64,128-64,0.15,0.0003,1,1.61089105227272,False
2021,2020,mlp_128_64_32,128-64-32,0.2,0.0008,1,1.6359620342277328,False
2022,2021,mlp_64_32,64-32,0.1,0.0001,5,0.44318214882735396,False
2022,2021,mlp_128_64,128-64,0.15,0.0003,5,0.4302968398839755,False
2022,2021,mlp_128_64_32,128-64-32,0.2,0.0008,5,0.4240134218865689,True
2023,2022,mlp_64_32,64-32,0.1,0.0001,5,0.3492842192910157,False
2023,2022,mlp_128_64,128-64,0.15,0.0003,45,0.34542052328532846,False
2023,2022,mlp_128_64_32,128-64-32,0.2,0.0008,50,0.34124699934602765,True
