model,symbol,qlike_gain_vs_har_x
HAR-X,AAPL,0.0
HAR-X,ADBE,0.0
HAR-X,AMD,0.0
HAR-X,AMZN,0.0
HAR-X,ASML,0.0
HAR-X,AVGO,0.0
HAR-X,COST,0.0
HAR-X,CSCO,0.0
HAR-X,GLD,0.0
HAR-X,GOOGL,0.0
HAR-X,INTC,0.0
HAR-X,INTU,0.0
HAR-X,MSFT,0.0
HAR-X,MU,0.0
HAR-X,NFLX,0.0
HAR-X,NVDA,0.0
HAR-X,PEP,0.0
HAR-X,QCOM,0.0
HAR-X,SLV,0.0
HAR-X,TSLA,0.0
HAR-X,TXN,0.0
HAR-X + News,AAPL,0.011319590183900493
HAR-X + News,ADBE,0.0720380107311927
HAR-X + News,AMD,0.11289849091322428
HAR-X + News,AMZN,-0.02618515152597918
HAR-X + News,ASML,0.11857904769492326
HAR-X + News,AVGO,0.07508465787337915
HAR-X + News,COST,0.011916268576235721
HAR-X + News,CSCO,0.07839078643148759
HAR-X + News,GLD,0.06708453842787718
HAR-X + News,GOOGL,0.10089120495500534
HAR-X + News,INTC,0.12047797675843054
HAR-X + News,INTU,0.05172365011392019
HAR-X + News,MSFT,-0.002390853766585055
HAR-X + News,MU,0.09736238575407195
HAR-X + News,NFLX,0.06294258098719803
HAR-X + News,NVDA,0.09664456737131966
HAR-X + News,PEP,-0.010245332035239888
HAR-X + News,QCOM,0.09083916540762964
HAR-X + News,SLV,0.14486520795296176
HAR-X + News,TSLA,0.01920770107508651
HAR-X + News,TXN,0.08708995439565143
XGBoost Gamma,AAPL,0.0861192452523147
XGBoost Gamma,ADBE,0.07744484521730087
XGBoost Gamma,AMD,0.07320544599529931
XGBoost Gamma,AMZN,0.06406952262647508
XGBoost Gamma,ASML,0.3029750242750983
XGBoost Gamma,AVGO,0.10615211867678993
XGBoost Gamma,COST,0.01759704043623097
XGBoost Gamma,CSCO,0.17817957115679084
XGBoost Gamma,GLD,0.06749158174275595
XGBoost Gamma,GOOGL,0.1696979230338147
XGBoost Gamma,INTC,0.12754537143936645
XGBoost Gamma,INTU,0.06913730749310401
XGBoost Gamma,MSFT,0.08738715672877283
XGBoost Gamma,MU,0.09038048374030339
XGBoost Gamma,NFLX,0.11142307989212422
XGBoost Gamma,NVDA,0.1543058155966857
XGBoost Gamma,PEP,-0.09833747733237691
XGBoost Gamma,QCOM,0.12933014795234815
XGBoost Gamma,SLV,0.1997732668391606
XGBoost Gamma,TSLA,0.12118236588323034
XGBoost Gamma,TXN,0.0673419461907799
Residual MLP,AAPL,-0.10360293993022128
Residual MLP,ADBE,0.09727407083864682
Residual MLP,AMD,0.10502116407009737
Residual MLP,AMZN,-0.2447439458109479
Residual MLP,ASML,0.29972729716401525
Residual MLP,AVGO,0.13706494458861496
Residual MLP,COST,0.02563762518794317
Residual MLP,CSCO,0.1933169533494945
Residual MLP,GLD,0.052511186433676346
Residual MLP,GOOGL,0.21479609640064115
Residual MLP,INTC,0.13173483920754908
Residual MLP,INTU,0.13600094623541112
Residual MLP,MSFT,0.12391510479563515
Residual MLP,MU,0.11170180831759176
Residual MLP,NFLX,0.17280995407763639
Residual MLP,NVDA,0.14479636152274936
Residual MLP,PEP,-0.045835909651062635
Residual MLP,QCOM,0.11749521904635263
Residual MLP,SLV,0.18637778326305424
Residual MLP,TSLA,-0.021892174434456315
Residual MLP,TXN,0.11070494474269178
