test_year,model,qlike,gain_vs_har_x
2018,HAR-X,0.6030799317181725,0.0
2019,HAR-X,0.5510206934166927,0.0
2020,HAR-X,1.8943490970084977,0.0
2021,HAR-X,0.4688806668319276,0.0
2022,HAR-X,0.39042684530120864,0.0
2023,HAR-X,0.429549405350233,0.0
2018,HAR-X + News,0.584960272880914,0.030045202773761152
2019,HAR-X + News,0.5300126219460491,0.03812573959859766
2020,HAR-X + News,1.7623200234724181,0.06969627390462306
2021,HAR-X + News,0.4356738094423907,0.07082155383779137
2022,HAR-X + News,0.3430151202485532,0.12143561751261749
2023,HAR-X + News,0.4323843924622368,-0.006599909292604654
2018,XGBoost Gamma,0.5249074570775392,0.12962207914615942
2019,XGBoost Gamma,0.5193459443455678,0.057483774111495696
2020,XGBoost Gamma,1.6086232891800076,0.15083059837265486
2021,XGBoost Gamma,0.45213377298978186,0.03571675060799367
2022,XGBoost Gamma,0.34091445948319526,0.12681603843049083
2023,XGBoost Gamma,0.45134014031516234,-0.05072928676775205
2018,Residual MLP,0.5032981269618674,0.16545369777440141
2019,Residual MLP,0.5121390514131032,0.07056294340326416
2020,Residual MLP,1.914815461206096,-0.010803903161206177
2021,Residual MLP,0.44499040223880226,0.05095169471273785
2022,Residual MLP,0.3398447480524526,0.1295558895539897
2023,Residual MLP,0.4184886890426751,0.025749578907086467
