variant,blend_weight,scale,inner_qlike,n_estimators,inner_rows,outer_year,news_family,news_feature_count,config_id,selected
direct,0.55,1.0587839479566874,0.6456047641209853,171,10458,2018,log_count,1,15,False
direct,0.55,1.0621551338289208,0.6449950865620128,165,10458,2018,attention,11,15,False
direct,0.65,1.0436855562926433,0.6446158916426976,120,10458,2018,attention_finbert,20,15,True
direct,0.55,1.0633020340003974,0.6471959914958062,159,10458,2018,all_deployable,34,15,False
direct,0.55,1.0877240156384542,0.6022051101506996,82,15729,2019,log_count,1,66,False
direct,0.55,1.08666787400966,0.6030550922522528,79,15729,2019,attention,11,66,False
direct,0.6,1.078188440383048,0.5975889538943187,75,15729,2019,attention_finbert,20,66,True
direct,0.55,1.0890570164614535,0.6020161876187006,83,15729,2019,all_deployable,34,66,False
direct,0.55,1.0884071972846017,0.5840880793660954,305,21021,2020,log_count,1,25,False
direct,0.6,1.0843864043682743,0.5832324590496751,314,21021,2020,attention,11,25,False
direct,0.55,1.090998394638778,0.5840826115178492,314,21021,2020,attention_finbert,20,25,False
direct,0.6,1.0896239776534007,0.5825521316347197,328,21021,2020,all_deployable,34,25,True
direct,0.5,1.1949698846603463,0.7251284744190859,82,25558,2021,log_count,1,66,True
direct,0.4,1.211386363886295,0.7294950061105474,79,25558,2021,attention,11,66,False
direct,0.45,1.202748056117649,0.7266552633289504,75,25558,2021,attention_finbert,20,66,False
direct,0.4,1.211572608569818,0.7290427586574332,83,25558,2021,all_deployable,34,66,False
direct,0.4,1.189381726378082,0.6880883495069328,230,29590,2022,log_count,1,84,False
direct,0.4,1.1890983467387943,0.6882988245304639,209,29590,2022,attention,11,84,False
direct,0.45,1.1809090303767382,0.6868907218507747,211,29590,2022,attention_finbert,20,84,True
direct,0.4,1.186168291259666,0.6874955624429179,231,29590,2022,all_deployable,34,84,False
ratio,1.0,1.2448388488693622,0.6485475417068439,93,33606,2023,log_count,1,25,False
ratio,1.0,1.2454257519642187,0.6483160723767788,104,33606,2023,attention,11,25,False
ratio,1.0,1.2441682455473186,0.6494244479759326,94,33606,2023,attention_finbert,20,25,False
ratio,1.0,1.2459273425317043,0.6474347777835747,123,33606,2023,all_deployable,34,25,True
